,company,ADDRESS,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,ADDITIONAL
88,BOUCHERS SERVICES,4 B RUE DE BUTEZ 08450 REMILLY AILLICOURT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
89,SARL SEGITRANS,16 BD DU GRAND CASTAING ENSEMBLE ZI SANS SOUCI 31600 MURET FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
90,TRANSPORTS BYS,14 RUE DE LA VILLE 34490 CORNEILHAN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
91,ENTREPRISE CAHUSAC FRERES,RUE DU MAL LECLERC 11290 MONTREAL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
92,M JULIEN JOB JACO,13 RUE ROGER SALENGRO 59750 FEIGNIES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
93,MADS TRANSPORTS,26 RUE CREVE COEUR 93300 AUBERVILLIERS,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
94,TRANSPORTS HERPIN PASCAL,3 RUE MARCEL ET HELENE OMS 11100 NARBONNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
95,TRANSERVICES,19 RUE DE LA GARE 10370 VILLENAUXE LA GRANDE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
96,TRANSPORTS DONALD BRIEND,2 RUE LA RUE MORVAN 22400 COETMIEUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
97,TRANSPORTS DALL'ARMI ET FILS,1269 RTE DE MONTAUBAN MAGNANAC 31340 VILLEMUR SUR TARN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
98,TRANSPORTS AVERSENG,ZONE INDUSTRIELLE PIOSSANE 31590 VERFEIL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
99,LA CASINCAISE,10 RUE ANDRE ALLAR LOT LITTORAL ENTREPRISES 13015 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
0,BORDEAUX SELF-STOCKAGE,15 RUE FRANCIS GARNIER 33300 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
1,CHALLENGE INTERNATIONAL,23 BOUCLE DE LA RAMEE 38070 SAINT QUENTIN FALLAVIER FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2,PROMARITIME INTERNATIONAL,7 BD MAL DE LATTRE DE TASSIGNY 81200 MAZAMET FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
3,SFTGF S.F.T GONDRAND FRERES,PARC ACTIVITES LES VALLEES ZA 45770 SARAN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
4,EURL TAXI FATI,33 RTE DE BEHOBIE RES LES CHENES BAT B 64700 HENDAYE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5,SAINT GOBAIN GLASS FRANCE,11 BD DE LA REPUBLIQUE 59580 EMERCHICOURT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
6,T.F.T. TRANSPORTS,5 RUE PAVLOV ZAI DES BRUYERES 78190 TRAPPES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
